Kens Sewing Center,912 East 2nd Street,,Muscle Shoals,AL ,35661,United States,U.S.A,,1-877-536-7739,,,
SewingMachinesPlus.com,713 Center Dr,,San Marcos,CA ,92069,United States,U.S.A,,1-800-401-8151,,,
Distribuidores RYS Costa Rica,100 MTS este Banco De ,,Grecia,Alajuela ,04100,Costa Rica,South America,,506-2458-3846,,,
HM Sewing Machines AU,59A Southey Street,,Mittagong,NSW ,02575,Australia ,Australia,,02 4871 3936,,,
Moore's Sewing Center - Victorville,16210 Bear Valley Road,,Victorville,CA ,92395,United States,U.S.A,,(760) 240-4477,,,
Moore's Sewing Center - Huntington Beach,15041 Goldenwest St.,,Huntington Beach,CA ,92647,United States,U.S.A,,(714) 899-3222,,,
Moore's Sewing Center - Mission Viejo,25390 Marguerite Pkwy,,Mission Viejo                          ,CA ,92692,United States,U.S.A,,(949) 580-2520,,,
Moore's Sewing Center - Orange,2265 N Tustin Street,,Orange,CA ,92865,United States,U.S.A,,(714) 279-6830,,,
Moore's Sewing Outlet Center - Rancho Santa Margarita,22532 Avenida Empresa,,Rancho Santa Margarita,CA ,92688,United States,U.S.A,,(949) 829-9459,,,
Moore's Sewing Center - Corona,591 N McKinley St., #105, Corona  ,CA ,92879,United States,U.S.A,,(951) 736-5457,,,
Moore's Sewing Center - Temecula,26490 Ynez Rd. ,Suites F & G,Temecula       ,CA ,92591,United States,U.S.A,,(951) 297-3796 ,,,
Rocky Mountain Sewing & Vacuum - Arvada Store ,7330 W 88th Ave, Unit J,Arvada,CO ,80021,United States,U.S.A,,303-404-0370,,,
Rocky Mountain Sewing & Vacuum - Aurora Store,5458 South Parker Rd,,Aurora,CO ,80015,United States,U.S.A,In Pioneer Hills Shopping Center on Parker Rd,720-870-2711,,,
Rocky Mountain Sewing & Vacuum - Colorado Springs ,1580 Space Center Dr ,#112,Colorado Springs,CO ,80915 ,United States,U.S.A,In the Wal-Mart Shopping Center at Powers and Palmer Park,719-597-8888,,,
Rocky Mountain Sewing & Vacuum - Littleton Store,8601 W Cross Dr ,Unit P1, Littleton,CO ,80123,United States,U.S.A,In the Southwest Commons Shopping Center,303-979-2334,,,
HM Sewing Machines AU,59A Southey Street,,Mittagong,NSW ,02575,Australia ,Australia,,02 4871 3936,,,
Quiltique,148 Prole Road Omokoroa RD2,,,Tauranga ,03172,New Zealand,Australia,,,,,
THE COTTON PATCH,1285 STRATFORD ROAD,,HALL GREEN,BIRMINGHAM  ,B289AJ,England,Europe,,,,,
BERNINA RSA (PTY) Ltd.,9 Lime Street,Auckland Park,Johannesburg ,Johannesburg ,02092,South Africa,Africa,,,,,
"SEWRITE DISTRIBUTORS, INC.",BOX 790,,THREE HILLS,ALBERTA, T0M 2A0,Canada,Canada,,,,,
Jones Sew & Vac – Boise,7615 W Fairview,,Boise,ID ,83704,United States,U.S.A,,(208) 323-6087,,,
Jones Sew & Vac - Pocatello,735 Yellowstone Ave,,Pocatello,ID ,83201,United States,U.S.A,,(208) 233-0670,,,
Jones Sew & Vac – Idaho Falls,655 East First Street,,Idaho Falls,ID ,83401,United States,U.S.A,,(208) 552-2567,,,
Killeen Sew & Quilt,2201 So. W.S. Young,,Killeen,Tx. ,76543,United States,U.S.A,,(254)616-2200,,,
