3 Sister's Quilt Shop,281-932-9786,3 Sister's Quilt Shop,24214 FM 1462,Neesville,TX,77461,United States,U.S.A
35th Avenue Sewing & Vac,602-841-5427,35th Avenue Sewing & Vac,3548 West Northern Avenue,Phoenix,AZ,85051,United States,U.S.A
A & E Sewing Inc,419-422-5812,A & E Sewing Inc,1207 Tiffin Ave,Findlay,OH,45840,United States,U.S.A
A Scarlet Thread,678-583-2296,A Scarlet Thread,1601 McDonough Place,McDonough,GA,30253,United States,U.S.A
A Stitch In Time of MN,218-444-7727,A Stitch In Time of MN,114 4th Street NW,Bemidji,MN,56601,United States,U.S.A
A-Best Sew And Vac,507-377-8244,A-BEST SEW AND VAC,1201 E. Main Street,Albert Lea,MN,56007,United States,U.S.A
All Brands,225-408-7110,All Brands,20415 Highland Road,Baton Rouge,LA,70817,United States,U.S.A
APQS,515-267-1113,APQS,"8033 University Blvd, Suite F",Des Moines,IA,50325,United States,U.S.A
Ardyth's Sew-N-Shoppe,608-356-4461,Ardyth's Sew-N-Shoppe,116 4th Street,Baraboo,WI,53913,United States,U.S.A
"Aurora Sewing Center, East",716-652-2811,"Aurora Sewing Center, East",659 Main Street,East Aurora,NY,14052,United States,U.S.A
Ausable Fabrics & More,989-745-2988,Ausable Fabrics & More,108 E Michigan Ave,Grayling,MI,49738,United States,U.S.A
Babb Enterprises,409-656-3013,Babb Enterprises,1310 3rd Street,Vidor,TX,77662,United States,U.S.A
Back Door Quilting,435- 789-5880,Back Door Quilting,4912 S. 2500 E,Vernal,UT,84078,United States,U.S.A
Batik Textiles,800-775-5030,Batik Textiles,"3070 Skyway Drive, Suite 103",Santa Maria,CA,93455,United States,U.S.A
Bayside Quilting,360-357-2000,Bayside Quilting,225 State Ave NE,Olympia,WA,98501,United States,U.S.A
BC Fabrics,,BC Fabrics,238 West Center Street,Kanab,UT,84741,United States,U.S.A
Bear Fork Trading Post,304-655-8602,Bear Fork Trading Post,1905 Crummies Creek Rd.,Arnoldsburg,WV,25234,United States,U.S.A
Beefore It's A Quilt,361-552-1350,Beefore It's A Quilt,119 E Main Street,Port Lavaca,TX,77979,United States,U.S.A
Bella Quilts,513-737-3999,Bella Quilts,118 Main Street,Hamilton,OH,45013,United States,U.S.A
